,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange,权重(%)Weight(%)
0,2020-12-31,300,沪深300,CSI 300,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,SHH,0.58
1,2020-12-31,300,沪深300,CSI 300,600004,白云机场,Guangzhou Baiyun International Airport Co Ltd,SHH,0.09
2,2020-12-31,300,沪深300,CSI 300,600009,上海机场,Shanghai International Airport Co Ltd,SHH,0.37
3,2020-12-31,300,沪深300,CSI 300,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,SHH,0.14
4,2020-12-31,300,沪深300,CSI 300,600011,华能国际,Huaneng Power International Inc,SHH,0.1
5,2020-12-31,300,沪深300,CSI 300,600015,华夏银行,Hua Xia Bank Co Ltd,SHH,0.2
6,2020-12-31,300,沪深300,CSI 300,600016,民生银行,China Minsheng Banking Corp Ltd,SHH,0.56
7,2020-12-31,300,沪深300,CSI 300,600018,上港集团,Shanghai International Port (Group) Co Ltd,SHH,0.08
8,2020-12-31,300,沪深300,CSI 300,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,SHH,0.27
9,2020-12-31,300,沪深300,CSI 300,600025,华能水电,HuanengLancang River Hydropower Inc.,SHH,0.04
10,2020-12-31,300,沪深300,CSI 300,600027,华电国际,Huadian Power International Corporation Ltd,SHH,0.06
11,2020-12-31,300,沪深300,CSI 300,600028,中国石化,China Petroleum & Chemical Corporation,SHH,0.28
12,2020-12-31,300,沪深300,CSI 300,600029,南方航空,China Southern Airlines Co Ltd,SHH,0.13
13,2020-12-31,300,沪深300,CSI 300,600030,中信证券,CITIC Securities Co Ltd,SHH,1.28
14,2020-12-31,300,沪深300,CSI 300,600031,三一重工,Sany Heavy Industry Co Ltd,SHH,1.06
15,2020-12-31,300,沪深300,CSI 300,600036,招商银行,China Merchants Bank Co Ltd,SHH,2.77
16,2020-12-31,300,沪深300,CSI 300,600048,保利地产,"Poly Developments and Holdings Group Co., Ltd.",SHH,0.58
17,2020-12-31,300,沪深300,CSI 300,600050,中国联通,China United Network Communications Co Ltd,SHH,0.21
18,2020-12-31,300,沪深300,CSI 300,600061,国投资本,"SDIC Capital Co., Ltd",SHH,0.12
19,2020-12-31,300,沪深300,CSI 300,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,SHH,0.12
20,2020-12-31,300,沪深300,CSI 300,600068,葛洲坝,China Gezhouba Group Co Ltd,SHH,0.09
21,2020-12-31,300,沪深300,CSI 300,600085,同仁堂,Beijing Tongrentang Co Ltd,SHH,0.07
22,2020-12-31,300,沪深300,CSI 300,600104,上汽集团,SAIC Motor Co Ltd,SHH,0.44
23,2020-12-31,300,沪深300,CSI 300,600109,国金证券,Sinolink Securities Co. Ltd.,SHH,0.2
24,2020-12-31,300,沪深300,CSI 300,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",SHH,0.15
25,2020-12-31,300,沪深300,CSI 300,600115,东方航空,China Eastern Airlines Corp Ltd,SHH,0.11
26,2020-12-31,300,沪深300,CSI 300,600118,中国卫星,China Spacesat Co Ltd,SHH,0.1
27,2020-12-31,300,沪深300,CSI 300,600150,中国船舶,China CSSC Holdings Limited,SHH,0.06
28,2020-12-31,300,沪深300,CSI 300,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,SHH,0.13
29,2020-12-31,300,沪深300,CSI 300,600176,中国巨石,"CHINA JUSHI CO., LTD.",SHH,0.21
30,2020-12-31,300,沪深300,CSI 300,600177,雅戈尔,Youngor Group Co Ltd,SHH,0.1
31,2020-12-31,300,沪深300,CSI 300,600183,生益科技,"Shengyi Technology Co.,Ltd.",SHH,0.16
32,2020-12-31,300,沪深300,CSI 300,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,SHH,0.33
33,2020-12-31,300,沪深300,CSI 300,600208,新湖中宝,Xinhu Zhongbao Co Ltd,SHH,0.07
34,2020-12-31,300,沪深300,CSI 300,600233,圆通速递,"YTO Express Group Co.,Ltd.",SHH,0.07
35,2020-12-31,300,沪深300,CSI 300,600271,航天信息,"Aisino Co.,Ltd",SHH,0.07
36,2020-12-31,300,沪深300,CSI 300,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,SHH,2.12
37,2020-12-31,300,沪深300,CSI 300,600297,广汇汽车,"China Grand Automotive Services Co., Ltd.",SHH,0.06
38,2020-12-31,300,沪深300,CSI 300,600299,安迪苏,Bluestar Adisseo Company,SHH,0.02
