,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
0,2021-01-26,500,内地企业,Mainland Enterprises,148,建滔集团,Kingboard Holdings Limited,HKG
1,2021-01-26,500,内地企业,Mainland Enterprises,151,中国旺旺,Want Want China,HKG
2,2021-01-26,500,内地企业,Mainland Enterprises,168,青岛啤酒股份,Tsingtao,HKG
3,2021-01-26,500,内地企业,Mainland Enterprises,175,吉利汽车,Geely,HKG
4,2021-01-26,500,内地企业,Mainland Enterprises,241,阿里健康,Alibaba Health Information Technology Limited,HKG
5,2021-01-26,500,内地企业,Mainland Enterprises,257,光大环境,China Everbright Environment Group Limited,HKG
6,2021-01-26,500,内地企业,Mainland Enterprises,267,中信股份,CITIC Limited,HKG
7,2021-01-26,500,内地企业,Mainland Enterprises,268,金蝶国际,Kingdee Intl,HKG
8,2021-01-26,500,内地企业,Mainland Enterprises,270,粤海投资,Guangdong Invest,HKG
9,2021-01-26,500,内地企业,Mainland Enterprises,285,比亚迪电子,Byd Electronic,HKG
10,2021-01-26,500,内地企业,Mainland Enterprises,291,华润啤酒,China Resources Beer (Holdings) Company Limited,HKG
11,2021-01-26,500,内地企业,Mainland Enterprises,317,中船防务,CSSC Offshore & Marine Engineering (Group) Company Limited,HKG
12,2021-01-26,500,内地企业,Mainland Enterprises,322,康师傅控股,Tingyi,HKG
13,2021-01-26,500,内地企业,Mainland Enterprises,347,鞍钢股份,Ansteel,HKG
14,2021-01-26,500,内地企业,Mainland Enterprises,358,江西铜业股份,Jiangxi Copper,HKG
15,2021-01-26,500,内地企业,Mainland Enterprises,384,中国燃气,China Gas Hldg,HKG
16,2021-01-26,500,内地企业,Mainland Enterprises,386,中国石油化工股份,Sinopec Corp,HKG
17,2021-01-26,500,内地企业,Mainland Enterprises,390,中国中铁,CN Railway Grp,HKG
18,2021-01-26,500,内地企业,Mainland Enterprises,425,敏实集团,Minth Group,HKG
19,2021-01-26,500,内地企业,Mainland Enterprises,586,海螺创业,China Conch Venture Holdings Limited,HKG
20,2021-01-26,500,内地企业,Mainland Enterprises,656,复星国际,Fosun Intl,HKG
21,2021-01-26,500,内地企业,Mainland Enterprises,670,中国东方航空股份,China East Air,HKG
22,2021-01-26,500,内地企业,Mainland Enterprises,688,中国海外发展,China Overseas,HKG
23,2021-01-26,500,内地企业,Mainland Enterprises,700,腾讯控股,Tencent Hldg,HKG
24,2021-01-26,500,内地企业,Mainland Enterprises,753,中国国航,Air China,HKG
25,2021-01-26,500,内地企业,Mainland Enterprises,762,中国联通,China Unicom,HKG
26,2021-01-26,500,内地企业,Mainland Enterprises,763,中兴通讯,ZTE Corp,HKG
27,2021-01-26,500,内地企业,Mainland Enterprises,772,阅文集团,CHINA LITERATURE LIMITED,HKG
28,2021-01-26,500,内地企业,Mainland Enterprises,788,中国铁塔,China Tower Corporation Limited,HKG
29,2021-01-26,500,内地企业,Mainland Enterprises,813,世茂集团,Shimao Group Holdings Limited,HKG
30,2021-01-26,500,内地企业,Mainland Enterprises,817,中国金茂,China Jinmao Holdings Group Limited,HKG
31,2021-01-26,500,内地企业,Mainland Enterprises,857,中国石油股份,PetroChina,HKG
32,2021-01-26,500,内地企业,Mainland Enterprises,868,信义玻璃,XINYI GLASS,HKG
33,2021-01-26,500,内地企业,Mainland Enterprises,874,白云山,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,HKG
34,2021-01-26,500,内地企业,Mainland Enterprises,881,中升控股,Zhongsheng Hldg,HKG
35,2021-01-26,500,内地企业,Mainland Enterprises,883,中国海洋石油,CNOOC,HKG
36,2021-01-26,500,内地企业,Mainland Enterprises,902,华能国际电力股份,HPI Inc,HKG
37,2021-01-26,500,内地企业,Mainland Enterprises,909,明源云,Ming Yuan Cloud Group Holdings Limited,HKG
38,2021-01-26,500,内地企业,Mainland Enterprises,914,海螺水泥,ANHUI CONCH CEMENT COMPANY LIMITED,HKG
39,2021-01-26,500,内地企业,Mainland Enterprises,939,建设银行,CCB Corp,HKG
40,2021-01-26,500,内地企业,Mainland Enterprises,941,中国移动,China Mobile Ltd,HKG
